video_path,video_name,fps,frame_count,processed_frames,sampled_frames,sample_frames_config,analysis_width_config,flow_every_n,mediapipe_every_n,mediapipe_checked_frames,resolution,analysis_resolution,brightness_mean,brightness_std,blur_mean,blur_std,edge_density_mean,edge_density_std,motion_mean,motion_std,occlusion_rate,hand_visibility_ratio,hand_detected_frames,person_area_ratio_mean,person_area_ratio_std,frontality_score,angle_variance,shoulder_angle_mean
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00225.mp4,W00225.mp4,29.97002997002997,142,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.01154658564815,23.515196995365812,284.6745382341675,17.491075103644295,0.0252271412037037,0.002133798251099759,0.15208068092099644,0.14618759486920327,0.6666666666666667,1.0,2,0.3787310456054511,0.09496640777420688,0.9169554635882378,0.008886302510897318,118.65765594697928
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00228.mp4,W00228.mp4,29.97002997002997,162,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.83772280092593,24.81695238827612,377.016741500214,48.147499151029855,0.026253616898148147,0.0044101806592191685,0.2297149866142056,0.27026791400831846,0.8333333333333334,1.0,1,0.39342867572607965,0.05055603121478635,0.9490556597709656,0.009291183948516846,-107.48769160036981
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00230.mp4,W00230.mp4,29.97002997002997,132,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.36658709490742,23.90478274490147,361.0682920115153,22.118215488740667,0.025769675925925925,0.0024733067828403123,0.1917887223376469,0.13711780678412921,0.6666666666666667,1.0,2,0.36314061948771464,0.05649736777131668,0.9182298531134924,0.00562410553296407,0.2786945575606268
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00231.mp4,W00231.mp4,29.97002997002997,279,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.95201316550926,20.243697425125387,312.6718263219888,21.14311951135334,0.02305266203703703,0.0024861403424810925,0.2760783488100225,0.2148510934376169,0.5,1.0,3,0.29392557661546653,0.05238119176360962,0.8242997576793035,0.013017207384109497,0.5183337177288271
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00232.mp4,W00232.mp4,29.97002997002997,149,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.58754412615741,20.42770908402416,310.14019861499173,31.852775916855744,0.023423755787037037,0.0021818490720925568,0.18106793036515062,0.18016444295828493,0.6666666666666667,1.0,2,0.32288602534652505,0.005343337823979502,0.941395898660024,0.020030369361241657,-117.39559534311469
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00234B.mp4,W00234B.mp4,29.97002997002997,149,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.47243634259259,25.885545659478343,457.6674002938227,91.05061587065558,0.02619357638888889,0.0038320507252408,0.15796710974113506,0.14665418455844387,0.5,1.0,3,0.36044427859691675,0.01230618573244999,0.9906839251518249,0.02602319121360779,-101.59047664514101
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00234T.mp4,W00234T.mp4,29.97002997002997,149,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.50611762152778,25.94937084881359,453.6042686738568,89.62180222054535,0.026395399305555556,0.0038357802898024026,0.15753560174595227,0.14642212445618197,0.5,1.0,3,0.3607315921180977,0.013275457538986938,0.9908057868480682,0.02600533962249756,-101.61356522605324
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00235.mp4,W00235.mp4,29.97002997002997,166,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.56189091435185,20.481042554151767,287.8160750188129,28.722149065223757,0.02287109375,0.0021878720639318745,0.12716408209367233,0.10367164302858398,0.5,1.0,3,0.31204140806956165,0.011061758834967171,0.8733636463681856,0.019644637902577717,-175.72687131337838
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00236.mp4,W00236.mp4,29.97002997002997,170,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.87903356481483,20.9380615010387,378.0975937942819,41.952848515078124,0.023992332175925928,0.0018195686790437853,0.21154994822361253,0.18074990631207416,0.8333333333333334,1.0,1,0.32469566683203155,0.020693752065845138,0.960826093951861,0.017414391040802002,-176.81576643999276
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00236N.mp4,W00236N.mp4,29.97002997002997,162,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",88.98870153356482,25.295604083691305,497.35597335431135,4.03063515463972,0.02716652199074074,0.0009618585562338707,0.16567164219238542,0.15337867120264123,0.6666666666666667,1.0,2,0.35469793505335395,0.015213629730326687,0.9933224121729533,0.015285144249598185,-57.67080587832578
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00237.mp4,W00237.mp4,29.97002997002997,151,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.92144675925925,21.14984269413254,387.2287058328636,46.00181466378188,0.023874421296296296,0.00199712945509823,0.2028608157892119,0.17434078035127504,0.6666666666666667,1.0,2,0.34783868212182395,0.04574400642604055,0.8726163928707441,0.02162484327952067,-57.79683565573024
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00238.mp4,W00238.mp4,29.97002997002997,137,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.61421802662038,20.85599121942975,352.1277413076895,36.03075644501212,0.023520688657407404,0.0009569891476139757,0.06255348009819334,0.03737411486678673,0.6666666666666667,1.0,2,0.31622854838849496,0.013997658007236692,0.9777916148304939,0.015027324358622232,-176.79821044593064
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00239.mp4,W00239.mp4,29.97002997002997,167,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.84299696180557,20.790707531596386,354.82943826994716,42.185547285947635,0.02330367476851852,0.0015375898151080878,0.09927719171074303,0.07856991581388185,0.6666666666666667,1.0,2,0.29554079277223294,0.03486393211530421,0.987908718486627,0.015068799257278442,-175.69505993823466
