video,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable,dataset
40177.npz,60,0.06666666666666667,0.5555555555555556,0.65,0.9333333333333333,0.35,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,False,ASL
40178.npz,60,0.0,0.05555555555555555,0.016666666666666666,1.0,0.9833333333333333,0.0,0.0,0.0,1.0,True,ASL
40179.npz,60,0.03333333333333333,0.09523809523809523,0.03333333333333333,0.9666666666666667,0.9666666666666667,0.05,0.05,0.05,0.95,True,ASL
40183.npz,84,0.0,0.29705215419501135,1.0,1.0,0.0,0.2261904761904762,0.2261904761904762,0.2261904761904762,0.7738095238095238,True,ASL
40184.npz,60,0.0,0.7222222222222222,0.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5833333333333333,False,ASL
66248.npz,60,0.0,0.48412698412698413,0.0,1.0,1.0,0.45,0.45,0.45,0.55,False,ASL
66249.npz,60,0.0,0.6984126984126984,0.0,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6333333333333333,False,ASL
40229.npz,60,0.0,0.23015873015873015,0.016666666666666666,1.0,0.9833333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,True,ASL
40230.npz,84,0.0,0.3424036281179138,0.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,False,ASL
40231.npz,60,0.0,0.29365079365079366,0.0,1.0,1.0,0.25,0.25,0.25,0.75,True,ASL
40234.npz,60,0.0,0.047619047619047616,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
40235.npz,60,0.03333333333333333,0.09523809523809523,0.03333333333333333,0.9666666666666667,0.9666666666666667,0.05,0.05,0.05,0.95,True,ASL
40313.npz,83,0.0,0.6615031554790591,0.0,1.0,1.0,0.2891566265060241,0.2891566265060241,0.2891566265060241,0.7108433734939759,False,ASL
