dataset,gloss,num_samples,mean_distance,median_distance,std_distance,within_class_variance,max_distance
VSL,vắng,3,6.563866235229162,6.216737684820828,0.5268682253759506,0.2775901269108034,7.308404693286426
VSL,đề nghị,3,6.5511425248566395,5.272795959992821,2.1380584262073214,4.571293833876129,9.563354638806029
VSL,buổi trưa,3,6.537076469929652,5.115146851592433,2.2481643881460096,5.054243116127922,9.710753563260464
VSL,tự vệ,3,6.528570370038558,5.217157568127189,2.0193580730676617,4.077807027263539,9.381287897077254
VSL,phở,3,6.473058367307064,5.143327953582514,2.208377439348738,4.876930914624488,9.585219866416905
VSL,tờ báo,3,6.46816536227125,4.9877678515445165,2.2488754285130033,5.057440692969544,9.646084045585711
VSL,giao tiếp,3,6.439791898034649,5.1585534440584455,2.2321617706179753,4.982546170208375,9.578938746113232
VSL,ngày tháng,3,6.4251826181999965,6.041576726173573,0.5724511172540008,0.32770028164535375,7.234387631078868
VSL,yêu mến (yêu quí),3,6.404489805348839,4.970182474817648,2.132410834923309,4.547175968898323,9.418997560548299
VSL,tưới cây,3,6.39573160774372,4.998743080064955,2.2190350341806506,4.9241164829211215,9.527842935652986
VSL,tham quan,3,6.384700500586395,4.906135526128111,2.1877039305803856,4.786048487876868,9.47758808299276
VSL,chăn nuôi,3,6.328756202691532,6.758959456558775,1.96277269736191,3.8524766615093475,8.488503805190287
VSL,hỏng,3,6.223619940959167,4.727815615294995,2.177034739683651,4.739480257789462,9.302004339547933
VSL,giúp đỡ,3,6.210464505452418,4.744832438148286,2.1826885936482854,4.7641294968423304,9.295967562006352
VSL,chúc mừng,3,6.194010372353975,4.9057108222271335,2.044289726169675,4.179120484522886,9.079564601914969
VSL,đúng không_,3,6.182693463344287,5.776946341745375,0.7892626484868009,0.6229355282963995,7.28608367997541
VSL,tàu hoả,3,6.147528345999812,5.983642035116742,1.4598900271928739,2.1312788914972103,8.011822279227435
VSL,con chó,3,6.1136863541508495,5.542682565833116,2.1386376897981405,4.573771168225128,8.971370737487494
VSL,dân tộc thiểu số,3,6.090101197590773,4.62337982551629,2.1345047378802184,4.5561104760331,9.108349632856543
VSL,gầy (miền Nam_ ốm),3,6.07329612979967,5.02042080148537,1.5990607865531397,2.5569953990919454,8.332962935157777
VSL,trong ngoài,3,6.069764706609089,4.895484195747375,2.094776881433642,4.388090182988854,9.012310285087562
VSL,bẻ ngô,3,6.04883691004721,4.600852640370332,2.0998524482294174,4.4093803043350785,9.01817459125014
VSL,không quen,3,6.044112872191891,4.762398168547519,2.077788888860247,4.317206666671101,8.974886284452323
VSL,cô giáo,3,6.042458030199408,4.594625334890964,2.0981387872574677,4.402186370594237,9.00938907256436
VSL,cây cổ thụ,3,6.03397491634185,4.816337032481497,2.1152951019217436,4.474473368214119,9.009168414457552
VSL,chúc tết,3,6.020631619215847,6.265761111942339,0.5079846181843622,0.25804837231191224,6.482879840659067
VSL,quân đội,2,5.968791866203667,5.968791866203667,0.0,0.0,5.968791866203667
VSL,huyện,3,5.945934713508458,6.998594656910339,1.6566608023815883,2.7445250141476083,7.232259646605802
VSL,chị,3,5.932744274674117,5.02674628520065,2.0559739034198983,4.227028691543652,8.778423517504608
VSL,chủ tịch,3,5.928537447700947,4.731618323919431,2.0261679596840243,4.105356600850122,8.781675115135764
VSL,anh dũng,3,5.926114705997421,6.488303887979806,1.9830172804822386,3.932357534691173,8.024409489359076
VSL,cướp,3,5.9038053250076326,4.4434452315034765,2.084935197616544,4.346954778260336,8.852305336364886
VSL,phim truyện,3,5.894479679134647,4.678485367262745,1.945765666378815,3.7860040284585943,8.640238378790869
VSL,cháu nội,3,5.890219611514122,4.944061787719247,1.351344568324772,1.8261321423408645,7.801278788528264
VSL,thú y,3,5.885243168025898,4.779728463143859,1.6527147053607418,2.731465897315644,8.221417682529863
VSL,chùa,3,5.876018977478751,5.228813952284175,1.3718172124043997,1.881882464248978,7.783498990988162
VSL,họp,3,5.856020798626307,4.435637923172405,2.0567851305658307,4.230365073316701,8.764491557848375
