dataset,gloss,video,path,hand,valid_frame_ratio,dominant_location,head_ratio,shoulder_ratio,chest_ratio,waist_ratio,below_waist_ratio
VSL,giẻ lau,W01476.npz,dataset\VSL\giẻ lau\W01476.npz,right,0.7311827956989247,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giếng nước,W01478.npz,dataset\VSL\giếng nước\W01478.npz,left,0.8240740740740741,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giếng nước,W01478.npz,dataset\VSL\giếng nước\W01478.npz,right,0.8240740740740741,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giỏi,W01485.npz,dataset\VSL\giỏi\W01485.npz,left,0.8859315589353612,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giỏi,W01485.npz,dataset\VSL\giỏi\W01485.npz,right,0.8859315589353612,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giống nhau,W01490.npz,dataset\VSL\giống nhau\W01490.npz,left,0.6941176470588235,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giống nhau,W01490.npz,dataset\VSL\giống nhau\W01490.npz,right,0.6941176470588235,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giỗ,D0041.npz,dataset\VSL\giỗ\D0041.npz,left,0.7912087912087912,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giỗ,D0041.npz,dataset\VSL\giỗ\D0041.npz,right,0.7912087912087912,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giới hạn,W01493.npz,dataset\VSL\giới hạn\W01493.npz,left,0.7578947368421053,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giới hạn,W01493.npz,dataset\VSL\giới hạn\W01493.npz,right,0.7578947368421053,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giới thiệu,W01494.npz,dataset\VSL\giới thiệu\W01494.npz,left,0.7111111111111111,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giới thiệu,W01494.npz,dataset\VSL\giới thiệu\W01494.npz,right,0.7111111111111111,shoulder,0.0,1.0,0.0,0.0,0.0
