dataset,label,num_samples,num_pairs,intra_class_dtw_mean,intra_class_dtw_std,intra_class_dtw_min,intra_class_dtw_max,intra_class_dtw_median
ASL,stadium,6,15,1.0294982632001242,0.2736804043394593,0.6044753789901733,1.672747015953064,0.9985458850860596
ASL,honor,6,15,1.027708081404368,0.22742125777338143,0.6958996057510376,1.4961498975753784,1.1111241579055786
ASL,eye,6,15,1.0258966525395712,0.7730357122920071,0.2791278660297394,2.4088752269744873,0.5520731806755066
ASL,man,12,66,1.025067656554959,0.4592318813382628,0.22779498994350433,2.220541477203369,0.9677822887897491
ASL,bed,13,78,1.0240719608771496,0.4317408666723602,0.3251800239086151,2.3407468795776367,0.9350238740444183
ASL,glasses,9,36,1.0234452800618277,0.29410998586189474,0.4918147325515747,1.6606944799423218,0.9486188292503357
ASL,doubt,6,15,1.0224230368932088,0.8310007977233637,0.2690088152885437,2.506443977355957,0.5625467896461487
ASL,right,9,36,1.0223415229055617,0.4751222815332105,0.38458096981048584,2.4479379653930664,0.9300015568733215
ASL,light,8,28,1.0221397168934345,0.4178342914390449,0.2228623479604721,1.6456551551818848,1.2496886849403381
ASL,kiss,9,36,1.021551130546464,0.4663328809739922,0.30869439244270325,2.5506722927093506,0.8851744532585144
ASL,poor,6,15,1.0208714743455252,0.4510133971325327,0.4999640882015228,1.8085402250289917,0.9397774338722229
ASL,deer,7,21,1.0206125719206673,0.3531219879277307,0.6235719919204712,1.686231255531311,0.9578300714492798
ASL,face,8,28,1.0199881440826826,0.3293076795959277,0.43726736307144165,1.6085561513900757,1.032084345817566
ASL,india,4,6,1.017644335826238,0.4750705839608272,0.38054758310317993,1.6831486225128174,0.8612774014472961
ASL,flag,6,15,1.0172570109367371,0.30089230613547846,0.5555886030197144,1.599828839302063,0.9471949934959412
ASL,egypt,7,21,1.0167768994967143,0.3909150029416212,0.5314918160438538,1.955004334449768,0.8931575417518616
ASL,ceiling,6,15,1.0120645006497702,0.1845011950071302,0.7118676900863647,1.3934472799301147,1.0065137147903442
ASL,last,12,66,1.01159854323575,0.4514978702874917,0.20350858569145203,1.94672691822052,0.9186296463012695
ASL,praise,5,10,1.0079228699207305,0.34696590929031285,0.5591920614242554,1.7638989686965942,0.9747747480869293
ASL,hear,9,36,1.0078478359306853,0.8330082000872948,0.040030334144830704,2.801833391189575,0.6947875320911407
ASL,gone,5,10,1.0053631603717803,0.14974525792274268,0.7325605154037476,1.3102452754974365,1.000013917684555
ASL,desert,7,21,1.0041245108559018,0.3982139652173065,0.2754097282886505,1.5666711330413818,1.0775997638702393
ASL,alligator,5,10,1.0039697527885436,0.2470439806434886,0.6257587671279907,1.39061439037323,1.0101380050182343
ASL,mountain,5,10,1.0035778164863587,0.24053258096496719,0.5032995343208313,1.3309463262557983,1.0788360834121704
ASL,neutral,6,15,1.0010936647653579,0.39117464250621486,0.1975061148405075,1.6294996738433838,1.006646990776062
ASL,hawaii,7,21,1.0005311213788532,0.3484408297914632,0.37600579857826233,1.5090949535369873,1.1242356300354004
ASL,salute,4,6,0.9997434516747793,0.1961871152443699,0.7296029329299927,1.2301254272460938,1.0540856719017029
ASL,through,5,10,0.9985126376152038,0.32248347515988135,0.635086715221405,1.6333814859390259,0.8584946393966675
ASL,dress,8,28,0.9978867141263825,0.5071027952570022,0.3788190484046936,2.227912187576294,0.7909348011016846
ASL,gum,6,15,0.9974055429299672,0.8216685694036359,0.3061777651309967,2.362902879714966,0.43379414081573486
ASL,audiology,4,6,0.996985654036204,0.24795530998821091,0.5059074759483337,1.2572096586227417,1.076916515827179
ASL,crocodile,4,6,0.9949194192886353,0.3085839151872935,0.5429738759994507,1.4985517263412476,1.0432381629943848
ASL,narrow,4,6,0.9945396284262339,0.4616623110456926,0.27912139892578125,1.5019460916519165,1.0675011575222015
ASL,volunteer,7,21,0.9943786263465881,0.7111758836650448,0.3325692117214203,2.3636422157287598,0.6053400039672852
ASL,waiter,3,3,0.993712862332662,0.04222221918742203,0.9369926452636719,1.0382342338562012,1.0059117078781128
ASL,rest,6,15,0.9926494161287943,0.30921875703105517,0.5877047777175903,1.6838757991790771,0.9833468794822693
ASL,whale,6,15,0.9901536027590434,0.2566166294254801,0.7008650302886963,1.6008368730545044,0.8889234662055969
ASL,russia,8,28,0.9900491179100105,0.5418430611334479,0.24847032129764557,2.2301201820373535,0.840297132730484
ASL,soon,11,55,0.9894104767929424,0.3075847596788845,0.30992621183395386,1.6438580751419067,0.9891707301139832
ASL,curse,6,15,0.9880290885766347,0.342980123649576,0.4707053601741791,1.4953035116195679,1.0120384693145752
ASL,doll,7,21,0.9874368749913716,0.784881340308432,0.23232457041740417,2.411647319793701,0.5552201867103577
ASL,call,12,66,0.9867158981435227,0.5137137112261605,0.18433530628681183,2.428539752960205,1.0305320024490356
